loss,accuracy,val_loss,val_accuracy
1.6660940647125244,0.4768750071525574,1.125726342201233,0.7225000262260437
1.0713621377944946,0.7074999809265137,0.8544970750808716,0.7799999713897705
0.880028486251831,0.7518749833106995,0.7541917562484741,0.7975000143051147
0.7611746788024902,0.78125,0.672302782535553,0.8149999976158142
0.6978479027748108,0.7962499856948853,0.6406383514404297,0.8199999928474426
0.6447456479072571,0.8193749785423279,0.6116297841072083,0.8299999833106995
0.6459442377090454,0.7987499833106995,0.5734643340110779,0.8349999785423279
0.5755448341369629,0.8356249928474426,0.5564784407615662,0.8299999833106995
0.5942356586456299,0.8243749737739563,0.5365098714828491,0.8525000214576721
0.5579400658607483,0.8231250047683716,0.5220377445220947,0.8550000190734863
0.5253904461860657,0.84375,0.5199140310287476,0.8450000286102295
0.5266563892364502,0.8381249904632568,0.5095028281211853,0.8424999713897705
0.4850667119026184,0.8637499809265137,0.5150772333145142,0.8424999713897705
0.47792303562164307,0.8500000238418579,0.4900836646556854,0.8450000286102295
0.46772903203964233,0.856249988079071,0.48324328660964966,0.8500000238418579
0.45107191801071167,0.8668749928474426,0.4700133502483368,0.8650000095367432
0.4482100009918213,0.8662499785423279,0.4553745687007904,0.8725000023841858
0.4305967092514038,0.8737499713897705,0.4606229066848755,0.862500011920929
0.42204445600509644,0.8725000023841858,0.4526089131832123,0.8650000095367432
0.40569615364074707,0.8725000023841858,0.4496898651123047,0.8774999976158142
0.40807828307151794,0.8787500262260437,0.4614962637424469,0.8600000143051147
0.4059872329235077,0.8756250143051147,0.4484820067882538,0.8550000190734863
0.384964257478714,0.8818749785423279,0.445698082447052,0.8650000095367432
0.38784465193748474,0.8843749761581421,0.4349304139614105,0.8600000143051147
0.35036852955818176,0.8918750286102295,0.4392646551132202,0.8675000071525574
0.38023149967193604,0.8837500214576721,0.4369077682495117,0.8575000166893005
0.37012362480163574,0.8818749785423279,0.45144808292388916,0.8600000143051147
0.3586893379688263,0.8962500095367432,0.4231429994106293,0.8675000071525574
0.335274875164032,0.8993750214576721,0.4214770495891571,0.8725000023841858
0.3623802065849304,0.8899999856948853,0.41669654846191406,0.8774999976158142
0.3463962972164154,0.893750011920929,0.4198475778102875,0.8700000047683716
0.33945605158805847,0.8981249928474426,0.4322274327278137,0.8600000143051147
0.34893062710762024,0.893750011920929,0.4216786324977875,0.8600000143051147
0.31350019574165344,0.9112499952316284,0.40931499004364014,0.8675000071525574
0.3361161947250366,0.8968750238418579,0.4075881838798523,0.8725000023841858
0.3233191668987274,0.9049999713897705,0.41755884885787964,0.8700000047683716
0.2990618050098419,0.9081249833106995,0.4136640429496765,0.8650000095367432
0.3151530921459198,0.9012500047683716,0.40749111771583557,0.8700000047683716
0.3160043954849243,0.9018750190734863,0.40436550974845886,0.8650000095367432
0.2873873710632324,0.9112499952316284,0.41226497292518616,0.8700000047683716
0.30591604113578796,0.9075000286102295,0.4050899147987366,0.8774999976158142
0.3173021078109741,0.903124988079071,0.3950604498386383,0.8700000047683716
0.2997857928276062,0.9137499928474426,0.3978549540042877,0.8774999976158142
0.30419132113456726,0.9106249809265137,0.39849719405174255,0.8725000023841858
0.30585506558418274,0.8999999761581421,0.3954523205757141,0.8675000071525574
0.2976309657096863,0.9068750143051147,0.4003506004810333,0.875
0.29271867871284485,0.9081249833106995,0.3970107138156891,0.8725000023841858
0.26745930314064026,0.9168750047683716,0.39470288157463074,0.8700000047683716
0.2676505744457245,0.9200000166893005,0.40888872742652893,0.8725000023841858
0.2722892761230469,0.9162499904632568,0.3924584686756134,0.8725000023841858
